record_id,date,school_id,grade,total_students,present_students,teacher_present,marked_by,attendance_anomaly,attendance_rate,proxy_attendance_anomaly
ATT0014650,2025-07-26,SCH0596,5,85,60,1,ADMIN,False,70.58823529411765,False
ATT0009232,2025-03-11,SCH0054,1,197,119,1,ADMIN,False,60.40609137055838,False
ATT0006474,2025-05-16,SCH0433,5,58,52,1,CLASS TEACHER,False,89.65517241379311,False
ATT0018737,2025-04-21,SCH0379,6,94,71,1,,False,75.53191489361703,False
ATT0012348,2025-08-30,SCH0208,1,234,194,1,ADMIN,False,82.90598290598291,False
ATT0017158,2025-05-19,SCH0505,2,85,58,0,,False,68.23529411764706,False
ATT0014975,2025-04-15,SCH0128,2,236,189,1,,False,80.08474576271186,False
ATT0011151,2025-06-24,SCH0393,6,261,197,1,ADMIN,False,75.47892720306514,False
ATT0002175,2025-05-17,SCH0398,3,260,271,1,,True,104.23076923076924,False
ATT0001505,2025-05-04,SCH0377,8,151,125,1,CLERK,False,82.78145695364239,False
ATT0008971,2025-09-07,SCH0268,7,96,61,1,,False,63.541666666666664,False
ATT0000448,2025-07-30,SCH0286,1,272,261,1,CLERK,False,95.95588235294117,False
ATT0007459,2025-05-26,SCH0403,8,181,188,1,HM,True,103.86740331491713,False
ATT0019075,2025-10-30,SCH0212,2,259,241,1,,False,93.05019305019306,False
ATT0005117,2025-09-20,SCH0434,8,287,190,1,,False,66.2020905923345,False
ATT0013119,2026-02-18,SCH0555,5,145,122,1,ADMIN,False,84.13793103448276,False
ATT0013105,2026-01-24,SCH0074,9,163,146,1,HEADMASTER,False,89.57055214723927,False
ATT0006545,2025-08-08,SCH0335,2,110,100,1,,False,90.9090909090909,False
ATT0010646,2026-10-01,SCH0329,1,79,74,1,CLERK,False,93.67088607594937,False
ATT0008701,2025-10-10,SCH0369,5,288,231,1,,False,80.20833333333334,False
ATT0005000,2025-12-04,SCH0180,1,224,177,1,ADMIN,False,79.01785714285714,False
ATT0001394,2025-09-07,SCH0328,1,183,183,1,ADMIN,False,100.0,True
ATT0011718,2025-07-12,SCH0188,5,167,167,1,CLERK,False,100.0,False
ATT0004412,2025-08-05,SCH0352,4,70,46,1,,False,65.71428571428571,False
ATT0016357,2025-09-11,SCH0217,2,61,43,1,CLERK,False,70.49180327868852,False
ATT0010389,2025-10-23,SCH0454,5,187,131,1,HM,False,70.05347593582889,False
ATT0004549,2025-10-01,SCH0517,3,70,61,,ADMIN,False,87.14285714285714,False
ATT0003932,2025-11-09,SCH0451,3,296,296,1,HEADMASTER,False,100.0,True
ATT0010030,2025-10-27,SCH0598,4,218,151,1,HM,False,69.26605504587155,False
ATT0003617,2025-08-22,SCH0304,5,74,47,1,CLASS TEACHER,False,63.51351351351351,False
ATT0010130,2026-03-03,SCH0572,1,273,205,1,,False,75.0915750915751,False
ATT0002302,2026-03-25,SCH0453,4,135,96,1,HEADMASTER,False,71.11111111111111,False
ATT0008115,2025-10-31,SCH0203,1,140,125,1,CLERK,False,89.28571428571429,False
ATT0011369,2025-06-10,SCH0215,5,284,183,1,CLERK,False,64.43661971830986,False
ATT0013204,2025-09-30,SCH0083,6,254,182,1,HEADMASTER,False,71.65354330708661,False
ATT0014748,2026-02-27,SCH0418,8,284,270,1,CLERK,False,95.07042253521126,False
ATT0009013,2025-10-10,SCH0300,5,257,173,1,HM,False,67.31517509727627,False
ATT0012196,2026-12-03,SCH0400,2,215,183,1,CLASS TEACHER,False,85.11627906976744,False
ATT0014093,2025-05-29,SCH0253,3,267,213,1,,False,79.7752808988764,False
ATT0010139,2025-10-08,SCH0534,1,126,80,1,HEADMASTER,False,63.49206349206349,False
ATT0016398,2026-01-13,SCH0537,7,258,178,1,HM,False,68.9922480620155,False
ATT0010481,2025-05-07,SCH0363,4,86,70,1,CLERK,False,81.3953488372093,False
ATT0007137,2025-05-15,SCH0414,7,95,87,1,,False,91.57894736842105,False
,2026-02-24,SCH0012,6,112,84,1,CLASS TEACHER,False,75.0,False
ATT0012018,2025-08-13,SCH0265,3,202,157,1,HEADMASTER,False,77.72277227722772,False
ATT0019081,2025-09-08,SCH0309,3,246,181,1,ADMIN,False,73.57723577235772,False
ATT0016530,2025-04-22,SCH0166,9,217,179,1,HM,False,82.48847926267281,False
ATT0012828,2026-02-18,SCH0385,7,182,128,0,,False,70.32967032967034,False
ATT0014175,2025-06-15,SCH0213,4,196,185,1,HEADMASTER,False,94.38775510204081,False
ATT0005035,2025-07-22,SCH0099,2,174,145,1,CLERK,False,83.33333333333334,False
ATT0005655,2025-07-21,SCH0289,2,183,146,1,CLERK,False,79.78142076502732,False
ATT0014219,2025-07-04,SCH0397,3,186,153,1,HM,False,82.25806451612904,False
ATT0018689,2025-10-23,SCH0213,2,190,157,,ADMIN,False,82.63157894736842,False
ATT0011622,2026-03-18,SCH0205,6,134,89,1,,False,66.4179104477612,False
ATT0018888,2025-09-04,SCH0298,5,154,140,1,CLASS TEACHER,False,90.9090909090909,False
ATT0010713,2025-08-17,SCH0235,5,299,315,1,CLASS TEACHER,True,105.35117056856187,False
ATT0017567,2026-01-24,SCH0059,4,267,231,1,,False,86.51685393258427,False
ATT0007223,2025-10-29,SCH0381,8,63,55,1,CLASS TEACHER,False,87.3015873015873,False
ATT0003740,2025-08-25,SCH0131,1,161,109,1,CLASS TEACHER,False,67.70186335403726,False
ATT0002196,2026-02-25,SCH0470,5,153,153,1,CLASS TEACHER,False,100.0,False
ATT0008740,2026-01-01,SCH0596,2,160,131,1,,False,81.875,False
ATT0012217,2025-04-16,SCH0132,4,51,45,1,CLASS TEACHER,False,88.23529411764706,False
ATT0014927,2025-05-13,SCH0593,1,77,65,1,HM,False,84.4155844155844,False
ATT0014708,2026-03-07,SCH0371,4,110,69,1,CLERK,False,62.727272727272734,False
ATT0009416,2025-11-08,SCH0345,9,266,260,1,HM,False,97.74436090225564,False
ATT0006308,2025-07-08,SCH0148,1,197,179,,ADMIN,False,90.86294416243655,False
