procurement_id,date,school_id,vendor_name,grain_type,quantity,unit,total_cost,payment_status,quantity_orginal,quantity_kg
MDM008522,2026-01-14,SCH0249,SINGH BROTHERS,Wheat,,,336,PENDING,,
MDM010158,2025-08-10,SCH0140,KUMAR GENERAL STORE,Wheat,40.7,KILOGRAM,1221,CLEARED,40.7,40.7
MDM007882,2025-03-11,SCH0514,KUMAR GENERAL STORE,Mustard Oil,54.2,KILOGRAM,6504,PAID,54.2,54.2
MDM004875,2026-03-19,SCH0445,SHARMA TRADERS PVT LTD,Rice,0.8,KILOGRAM,1600,DUE,0.8,40.0
MDM011422,2025-08-16,SCH0172,KUMAR SUPPLIES,Rice,,,2104,PAID,,
MDM007746,2025-04-10,SCH0357,KUMAR SUPPLIES,Rice,14.9,KILOGRAM,596,PAID,14.9 kg,14.9
MDM003693,2025-08-05,SCH0267,SHARMA TRADERS PVT LTD,Pulses,,,2826,Unknown,,
MDM001497,2025-09-12,SCH0210,SINGH AGRO,Rice,16100.0,GRAM,644,DUE,16100,16.1
MDM001214,2025-06-25,SCH0301,SINGH AGRO,Pulses,14.2,KILOGRAM,1278,PENDING,14.2 kg,14.2
MDM005465,2025-06-14,SCH0233,SINGH AGRO,Wheat,57.0,KILOGRAM,1710,Unknown,57,57.0
MDM011101,2025-10-10,SCH0283,SHARMA & SONS,Atta,28.5,KILOGRAM,855,PENDING,28.5,28.5
MDM011169,2026-02-11,SCH0113,S. AGRO WORKS,Rice,33.0,KILOGRAM,1320,DUE,33.0 kg,33.0
MDM004084,2025-04-06,SCH0037,SINGH BROTHERS,Wheat,39.6,KILOGRAM,1188,CLEARED,39.6,39.6
MDM008099,2025-08-27,SCH0340,SHARMA TRADERS PVT LTD,Wheat,21.5,KILOGRAM,645,CLEARED,21.5,21.5
MDM009206,2025-08-27,SCH0366,GOYAL RICE MILL,Pulses,0.5539999999999999,BAGS,2493,PAID,0.5539999999999999,27.699999999999996
MDM002217,2025-10-01,SCH0462,SINGH AGRO,Rice,,,1800,CLEARED,,
MDM001670,2026-03-23,SCH0228,GOYAL MILL,Mustard Oil,37.0,KILOGRAM,4440,PAID,37,37.0
MDM000813,2025-11-25,SCH0492,SHARMA TRADERS,Wheat,0.8959999999999999,BAGS,1344,PAID,0.8959999999999999,44.8
MDM011888,2026-06-02,SCH0321,SHARMA & SONS,Mustard Oil,41900.0,GRAM,,DUE,41900,41.9
MDM008145,2025-03-10,SCH0462,GOYAL RICE MILL,Mustard Oil,16.3,KILOGRAM,,PENDING,16.3,16.3
MDM002981,2025-12-16,SCH0183,SINGH BROTHERS,Pulses,,,3159,PENDING,,
MDM005964,2026-02-16,SCH0424,S. AGRO WORKS,Wheat,52.5,KILOGRAM,1575,PENDING,52.5,52.5
MDM007657,2025-10-07,SCH0117,S. AGRO WORKS,Mustard Oil,46.6,KILOGRAM,5592,PENDING,46.6 kg,46.6
MDM006963,2025-04-29,SCH0061,KUMAR & CO.,Mustard Oil,0.7120000000000001,BAGS,4272,PAID,0.7120000000000001,35.6
MDM000742,2026-03-20,SCH0076,S. AGRO WORKS,Pulses,34.2,KILOGRAM,3078,Unknown,34.2,34.2
MDM005298,2026-03-20,SCH0378,KUMAR SUPPLIES,Mustard Oil,41000.0,GRAM,4920,PENDING,41000,41.0
MDM011357,2026-02-06,SCH0105,KUMAR & CO.,Mustard Oil,52.2,KILOGRAM,6264,Unknown,52.2 kg,52.2
MDM004065,2025-07-30,SCH0421,KUMAR SUPPLIES,Pulses,47.9,KILOGRAM,4311,PENDING,47.9,47.9
MDM010975,2025-04-19,SCH0329,S. AGRO WORKS,Mustard Oil,16600.0,GRAM,1992,CLEARED,16600,16.6
MDM002616,2026-02-10,SCH0295,SINGH BROTHERS,Pulses,17400.0,GRAM,1566,PAID,17400,17.4
MDM009238,2026-02-09,SCH0053,SHARMA & SONS,Rice,31.1,KILOGRAM,1244,PAID,31.1 kg,31.1
MDM003882,2025-04-25,SCH0426,GOYAL RICE MILL,Wheat,28000.0,GRAM,840,PAID,28000,28.0
MDM005266,2025-04-04,SCH0494,KUMAR GENERAL STORE,Mustard Oil,48.1,KILOGRAM,5772,Unknown,48.1,48.1
MDM008835,2026-01-21,SCH0113,SHARMA TRADERS,Rice,59.0,KILOGRAM,2360,PENDING,59.0 kg,59.0
MDM011468,2026-03-24,SCH0094,SHARMA TRADERS PVT LTD,Pulses,0.51,BAGS,2295,DUE,0.51,25.5
MDM006795,2026-03-20,SCH0445,S. AGRO WORKS,Rice,0.484,BAGS,968,PENDING,0.484,24.2
MDM000829,2025-05-22,SCH0445,KUMAR SUPPLIES,Rice,42.2,KILOGRAM,1688,PAID,42.2,42.2
MDM009677,2026-01-25,SCH0201,SINGH BROTHERS,Mustard Oil,48.4,KILOGRAM,5808,Unknown,48.4 kg,48.4
MDM004339,2025-05-11,SCH0340,GOYAL ENTERPRISES,Mustard Oil,0.328,BAGS,1967,PAID,0.328,16.400000000000002
MDM007788,2025-05-06,SCH0018,SINGH AGRO,Mustard Oil,1.062,BAGS,6372,PENDING,1.062,53.1
