school_id,school_name,district,block,total_enrolled_students,school_type,medium
SCH0050,Govt. Senior Secondary School Tank,MOGA,Moga-I,424,SECONDARY,PUNJABI
SCH0583,Govt. Middle School Dara,FEROZEPUR,Makhu,436,HIGHER SECONDARY,PUNJABI
SCH0083,Govt. Primary School Dutta,BATHINDA,Talwandi Sabo,196,PRIMARY,HINDI
SCH0306,Govt. Elementary School Bhardwaj,PATIALA,,375,PRIMARY,HINDI
SCH0110,Govt. Primary School Goswami,MOGA,Bagha Purana,398,HIGHER SECONDARY,PUNJABI
SCH0011,Govt. Senior Secondary School Munshi,PATIALA,Samana,422,HIGHER SECONDARY,PUNJABI
SCH0269,Govt. Middle School Narayanan,AMRITSAR,Amritsar-II,332,HIGHER SECONDARY,PUNJABI
SCH0354,Govt. Senior Secondary School Kakar,MOGA,Moga-II,402,SECONDARY,ENGLISH
SCH0329,Govt. Elementary School Modi,SANGRUR,,415,UPPER PRIMARY,HINDI
SCH0534,Govt. Elementary School Pau,FEROZEPUR,Makhu,410,PRIMARY,HINDI
SCH0282,Govt. Primary School Palan,SANGRUR,,203,PRIMARY,ENGLISH
SCH0488,Govt. Primary School Nayak,BATHINDA,Maur,57,UPPER PRIMARY,PUNJABI
SCH0235,Govt. Senior Secondary School Balan,AMRITSAR,Amritsar-II,315,UPPER PRIMARY,PUNJABI
SCH0132,Govt. Primary School Rajagopal,AMRITSAR,Tarn Taran,89,SECONDARY,HINDI
SCH0003,Govt. Senior Secondary School Chopra,FEROZEPUR,Zira,269,PRIMARY,ENGLISH
SCH0228,Govt. Elementary School Sankar,SANGRUR,Sunam,272,SECONDARY,HINDI
SCH0577,Govt. Elementary School Magar,LUDHIANA,Doraha,80,HIGHER SECONDARY,ENGLISH
SCH0427,Govt. Elementary School Mangat,JALANDHAR,Phillaur,42,PRIMARY,PUNJABI
SCH0185,Govt. Elementary School Tata,SANGRUR,Sunam,102,PRIMARY,ENGLISH
SCH0399,Govt. Middle School Konda,PATIALA,Samana,199,HIGHER SECONDARY,PUNJABI
SCH0375,Govt. Primary School Karan,FEROZEPUR,Ferozepur,242,SECONDARY,ENGLISH
SCH0079,Govt. Primary School Dash,BATHINDA,Maur,366,HIGHER SECONDARY,PUNJABI
SCH0248,Govt. Elementary School Grover,FEROZEPUR,Mamdot,313,SECONDARY,PUNJABI
SCH0056,Govt. Primary School Nagar,SANGRUR,Sangrur,405,SECONDARY,HINDI
SCH0221,Govt. Middle School Butala,BATHINDA,Bathinda,44,PRIMARY,HINDI
SCH0524,Govt. Primary School Sabharwal,LUDHIANA,Ludhiana-II,92,UPPER PRIMARY,HINDI
SCH0249,Govt. Senior Secondary School Toor,MOGA,Moga-II,229,PRIMARY,PUNJABI
SCH0383,Govt. Senior Secondary School Sama,LUDHIANA,Ludhiana-II,332,UPPER PRIMARY,ENGLISH
SCH0500,Govt. Elementary School Kala,BATHINDA,Talwandi Sabo,153,UPPER PRIMARY,HINDI
SCH0553,Govt. Elementary School Brar,LUDHIANA,Machhiwara,80,SECONDARY,PUNJABI
SCH0040,Govt. Primary School Gole,JALANDHAR,Nakodar,440,UPPER PRIMARY,PUNJABI
SCH0146,Govt. Primary School Sundaram,BATHINDA,Rampura Phul,153,UPPER PRIMARY,HINDI
SCH0378,Govt. Middle School Mitter,AMRITSAR,Amritsar-II,266,HIGHER SECONDARY,HINDI
SCH0078,Govt. Senior Secondary School Bhavsar,BATHINDA,Maur,224,PRIMARY,PUNJABI
SCH0119,Govt. Middle School Sur,FEROZEPUR,,252,HIGHER SECONDARY,ENGLISH
SCH0401,Govt. Senior Secondary School Sunder,MOGA,Moga-II,124,HIGHER SECONDARY,HINDI
SCH0149,Govt. Middle School Uppal,MOGA,Bagha Purana,117,HIGHER SECONDARY,HINDI
SCH0332,Govt. Senior Secondary School Lad,FEROZEPUR,Makhu,274,PRIMARY,PUNJABI
SCH0133,Govt. Primary School Thakur,MOGA,Moga-I,250,HIGHER SECONDARY,HINDI
SCH0216,Govt. Senior Secondary School Oommen,PATIALA,Nabha,315,SECONDARY,HINDI
SCH0585,Govt. Primary School Bala,SANGRUR,Sangrur,131,UPPER PRIMARY,HINDI
SCH0438,Govt. Senior Secondary School Chacko,BATHINDA,Talwandi Sabo,130,PRIMARY,PUNJABI
SCH0087,Govt. Elementary School Grewal,LUDHIANA,Ludhiana-II,445,SECONDARY,PUNJABI
SCH0322,Govt. Primary School Tak,MOGA,Nihal Singh Wala,179,SECONDARY,HINDI
SCH0337,Govt. Elementary School Bora,LUDHIANA,Ludhiana-II,207,UPPER PRIMARY,ENGLISH
SCH0077,Govt. Middle School Buch,AMRITSAR,Amritsar-II,138,HIGHER SECONDARY,HINDI
SCH0236,Govt. Senior Secondary School Palan,BATHINDA,Talwandi Sabo,384,HIGHER SECONDARY,ENGLISH
SCH0486,Govt. Primary School Johal,FEROZEPUR,Ferozepur,72,SECONDARY,PUNJABI
SCH0278,Govt. Primary School Kamdar,AMRITSAR,Amritsar-I,433,SECONDARY,PUNJABI
SCH0209,Govt. Elementary School Mane,FEROZEPUR,Zira,388,PRIMARY,HINDI
SCH0466,Govt. Middle School Chand,FEROZEPUR,Mamdot,272,PRIMARY,HINDI
SCH0394,Govt. Senior Secondary School Bala,BATHINDA,Talwandi Sabo,67,UPPER PRIMARY,HINDI
SCH0347,Govt. Primary School Mall,LUDHIANA,Machhiwara,311,UPPER PRIMARY,HINDI
SCH0566,Govt. Primary School Ramachandran,AMRITSAR,Tarn Taran,378,SECONDARY,PUNJABI
SCH0031,Govt. Primary School Mohanty,SANGRUR,,424,PRIMARY,HINDI
SCH0574,Govt. Primary School Deep,JALANDHAR,Phillaur,434,UPPER PRIMARY,HINDI
SCH0205,Govt. Elementary School Chander,,Ferozepur,63,SECONDARY,HINDI
SCH0312,Govt. Primary School Sagar,PATIALA,Samana,370,SECONDARY,ENGLISH
SCH0512,Govt. Elementary School Chana,FEROZEPUR,Makhu,267,SECONDARY,HINDI
SCH0141,Govt. Middle School Sane,SANGRUR,Malerkotla,63,PRIMARY,HINDI
SCH0474,Govt. Senior Secondary School Borra,SANGRUR,Dhuri,286,HIGHER SECONDARY,HINDI
SCH0578,Govt. Primary School Narasimhan,JALANDHAR,Phillaur,291,UPPER PRIMARY,PUNJABI
SCH0057,Govt. Elementary School Wagle,FEROZEPUR,Zira,401,HIGHER SECONDARY,HINDI
SCH0589,Govt. Elementary School Sarraf,PATIALA,Patiala,358,PRIMARY,PUNJABI
SCH0506,Govt. Primary School Parekh,JALANDHAR,Nakodar,442,SECONDARY,HINDI
SCH0229,Govt. Primary School Balay,PATIALA,,309,SECONDARY,HINDI
