assessment_id,date,school_id,grade,subject,grading_scale,avg_score,max_marks,total_students_assessed,score_100
TST005495,2025-05-05,SCH0083,8,English,Letter Grade,C,NA,125,70.0
TST003026,2025-01-07,SCH0103,5,Punjabi,pct,63.4%,100,76,63.4
TST006793,2026-03-06,SCH0147,7,Mathematics,CGPA,7.7,10,123,77.0
TST001798,2025-05-25,SCH0267,5,Science,Percentage,73.0%,100,34,73.0
TST005946,2026-03-18,SCH0254,6,Mathematics,CGPA,4.8,10,148,48.0
TST004994,2025-07-29,SCH0362,7,Punjabi,Letter Grade,A+,NA,113,95.0
TST002546,2026-01-15,SCH0148,8,Mathematics,CGPA,8.8,10,64,88.0
TST006290,2026-12-02,SCH0381,8,Science,Raw Marks,21.6/50,50,109,43.2
TST001476,2025-06-03,SCH0440,5,Mathematics,pct,43.0%,100,114,43.0
TST007642,2026-01-11,SCH0597,6,Mathematics,Letter Grade,B,NA,145,80.0
TST003796,2025-01-06,SCH0372,5,Hindi,CGPA,8.5,10,25,85.0
TST007771,2025-04-11,SCH0352,7,EVS,Letter Grade,D,NA,143,60.0
TST007892,2025-04-10,SCH0087,8,Mathematics,CGPA,8.9,10,50,89.0
TST002626,2026-02-26,SCH0154,7,English,pct,85.8%,100,136,85.8
TST002956,2025-10-18,SCH0376,4,Mathematics,pct,76.7%,100,42,76.7
TST000891,2025-07-25,SCH0238,4,Mathematics,Percentage,55.6%,100,122,55.6
TST006981,2026-03-21,SCH0268,6,Punjabi,CGPA,7.9,10,91,79.0
TST004287,2025-06-30,SCH0461,6,Punjabi,Raw Marks,40.1/50,50,149,80.2
TST007479,2025-06-11,SCH0427,3,Hindi,Raw Marks,16.0/25,25,147,64.0
TST001207,2025-12-11,SCH0439,3,Science,Letter Grade,C,NA,55,70.0
TST003835,2025-09-24,SCH0524,7,English,Letter Grade,D,NA,102,60.0
TST007123,2025-12-27,SCH0525,4,Hindi,Letter Grade,C,NA,59,70.0
TST005590,2026-12-03,SCH0214,3,Mathematics,pct,84.7%,100,74,84.7
TST005348,2026-02-03,SCH0372,8,Hindi,Letter Grade,C,NA,46,70.0
TST001951,2025-06-15,SCH0551,7,Mathematics,CGPA,6.2,10,41,62.0
TST001439,2026-03-03,SCH0096,8,English,%,89.3%,100,131,89.3
TST006225,2025-06-11,SCH0552,8,Mathematics,CGPA,4.6,10,30,46.0
TST007550,2025-11-05,SCH0496,6,Mathematics,Letter Grade,C,NA,67,70.0
TST002094,2025-12-09,SCH0590,7,English,Letter Grade,C,NA,35,70.0
TST004374,2025-10-25,SCH0396,6,Mathematics,Letter Grade,C,NA,101,70.0
TST004362,2025-05-18,SCH0114,8,Science,Percentage,63.3%,100,35,63.3
TST003952,2025-05-14,SCH0025,8,English,Letter Grade,B,NA,50,80.0
TST002105,2026-01-20,SCH0135,7,English,Letter Grade,B,NA,76,80.0
TST001990,2026-01-16,SCH0343,6,EVS,CGPA,5.1,10,137,51.0
TST002960,2025-05-12,SCH0536,5,Mathematics,Letter Grade,B,NA,68,80.0
TST000352,2025-06-14,SCH0329,3,Mathematics,pct,41.9%,100,150,41.9
TST007226,2025-09-29,SCH0098,8,Punjabi,Letter Grade,A,NA,103,90.0
TST001617,2025-04-17,SCH0411,4,Science,Percentage,61.8%,100,117,61.8
TST004089,2025-04-29,SCH0191,6,Hindi,Letter Grade,B,NA,47,80.0
TST001184,2026-02-17,SCH0301,5,Science,pct,48.2%,100,74,48.2
TST004633,2025-04-05,SCH0205,3,English,%,55.8%,100,57,55.8
TST007400,2025-07-28,SCH0114,5,Mathematics,Letter Grade,D,NA,134,60.0
TST000654,2025-04-27,SCH0466,8,Science,pct,82.2%,100,75,82.2
TST001778,2025-07-14,SCH0005,6,Mathematics,Letter Grade,C,NA,25,70.0
TST006514,2025-07-04,SCH0470,8,EVS,CGPA,7.3,10,22,73.0
TST003441,2025-01-07,SCH0478,8,Mathematics,Raw Marks,15.0/25,25,109,60.0
TST006021,2025-11-15,SCH0124,3,Hindi,CGPA,5.2,10,109,52.0
TST005748,2025-11-13,SCH0179,3,Mathematics,Percentage,92.4%,100,99,92.4
TST006601,2025-09-17,SCH0129,3,Punjabi,CGPA,4.7,10,56,47.0
TST002605,2026-03-24,SCH0276,4,Mathematics,Letter Grade,D,NA,129,60.0
TST002038,2025-12-23,SCH0191,8,Hindi,Raw Marks,45.0/50,50,25,90.0
TST007488,2025-03-08,SCH0544,8,Mathematics,Raw Marks,83.1/100,100,60,83.1
TST004221,2025-10-27,SCH0484,6,Mathematics,CGPA,7.4,10,143,74.0
TST006879,2025-08-24,SCH0424,8,Hindi,Raw Marks,27.9/50,50,114,55.8
TST003998,2026-02-22,SCH0378,7,Mathematics,Raw Marks,12.6/25,25,133,50.4
TST007805,2025-11-13,SCH0141,6,Hindi,%,66.3%,100,40,66.3
TST006766,2026-02-15,SCH0333,8,Punjabi,Letter Grade,D,NA,29,60.0
TST005209,2025-12-12,SCH0444,7,Hindi,Letter Grade,E,NA,103,50.0
TST003428,2025-09-24,SCH0152,4,Mathematics,Letter Grade,C,NA,60,70.0
TST006323,2026-02-28,SCH0091,6,Mathematics,Raw Marks,30.6/50,50,112,61.199999999999996
TST007984,2025-05-16,SCH0026,7,English,pct,87.5%,100,66,87.5
TST003936,2025-10-15,SCH0506,3,English,Letter Grade,D,NA,85,60.0
TST005880,2025-11-17,SCH0002,5,EVS,Letter Grade,B,NA,79,80.0
TST004572,2026-02-19,SCH0029,8,Science,Percentage,44.4%,100,121,44.4
TST006414,2025-07-06,SCH0022,8,Mathematics,Raw Marks,41.0/100,100,64,41.0
TST007716,2025-05-29,SCH0014,8,English,Letter Grade,D,NA,145,60.0
TST006425,2026-03-08,SCH0453,8,Mathematics,Raw Marks,14.3/25,25,123,57.2
TST006435,2025-07-07,SCH0243,4,Punjabi,pct,41.0%,100,52,41.0
TST001155,2026-01-24,SCH0202,8,Hindi,pct,46.3%,100,117,46.3
TST007349,2025-05-15,SCH0314,5,Mathematics,Raw Marks,10.9/25,25,25,43.6
TST006681,2026-10-01,SCH0312,7,English,pct,79.4%,100,74,79.4
TST005620,2025-05-27,SCH0501,8,Mathematics,CGPA,5.3,10,24,53.0
TST004096,2025-06-22,SCH0407,5,Mathematics,pct,78.5%,100,108,78.5
TST000536,2025-02-11,SCH0506,5,Punjabi,Letter Grade,B,NA,103,80.0
TST005516,2025-07-18,SCH0006,8,English,Raw Marks,19.6/25,25,73,78.4
TST004380,2025-10-31,SCH0230,4,Mathematics,Letter Grade,D,NA,121,60.0
TST000639,2025-09-18,SCH0151,8,EVS,pct,40.5%,100,130,40.5
TST007274,2025-04-05,SCH0531,6,Science,pct,92.5%,100,132,92.5
TST006749,2025-05-29,SCH0273,6,English,pct,58.7%,100,75,58.7
TST006212,2026-03-10,SCH0363,5,Mathematics,CGPA,8.3,10,67,83.0
TST007270,2026-01-15,SCH0218,5,Mathematics,CGPA,9.0,10,125,90.0
TST002487,2025-09-18,SCH0472,7,Science,CGPA,4.5,10,39,45.0
TST003881,2025-09-16,SCH0055,4,English,Percentage,85.4%,100,57,85.4
TST004398,2025-05-22,SCH0054,8,Punjabi,Raw Marks,10.2/25,25,100,40.8
TST001109,2025-01-05,SCH0484,3,Mathematics,Raw Marks,21.1/50,50,123,42.2
